identifier,leakage_group
2EZV_B,L00379
2F2C_A,L00380
2F55_A,L00381
2F5P_A,L00166
2F5Q_A,L00166
2F8N_G,L00005
2F8X_C,L00382
2F9Z_A,L00383
2FCC_A,L00276
2FCR_A,L00384
2FF0_A,L00045
2FHL_A,L00385
2FIO_A,L00386
2FKC_A,L00387
2FLD_B,L00116
2FO1_A,L00382
2FR4_A,L00052
2FR4_B,L00052
2G5H_C,L00388
2G5X_A,L00389
2G8K_A,L00312
2GAI_A,L00189
2GAK_A,L00390
2GAT_A,L00117
2GB7_B,L00391
2GCA_A,L00392
2GE5_A,L00035
2GEQ_B,L00393
2GIE_A,L00394
2GIH_A,L00394
2GJP_A,L00395
2GKD_A,L00396
2GLI_A,L00264
2GLO_A,L00397
2GM4_A,L00120
2GRR_A,L00005
2GXA_E,L00168
2GZK_A,L00398
2H1K_B,L00023
2H1O_A,L00349
2H1O_E,L00349
2H27_A,L00399
2H3A_A,L00400
2H47_F,L00401
2H7H_A,L00010
2H8C_B,L00402
2H9Z_A,L00403
2HAP_C,L00143
2HAX_A,L00377
2HDC_A,L00010
2HDD_B,L00023
2HHV_A,L00072
2HMI_A,L00144
2HMI_B,L00144
2HOI_A,L00083
2HOS_B,L00023
2HVR_A,L00404
2HY5_B,L00405
2I06_A,L00406
2I0F_A,L00172
2I0M_A,L00253
2I0Q_A,L00219
2I3P_A,L00116
2I3Q_A,L00116
2I5W_A,L00091
2I9K_A,L00074
2I9T_A,L00016
2IAP_A,L00407
2IC8_A,L00408
2IEF_A,L00409
2IFC_C,L00410
2IHM_B,L00142
2IHN_A,L00411
2IHV_A,L00412
2IIE_A,L00413
2IIF_A,L00413
2IMW_P,L00192
2IN0_A,L00414
2IRF_G,L00010
2IS6_A,L00269
2IT0_A,L00105
2ITL_A,L00415
2IVH_A,L00224
2IX5_A,L00353
2J6U_A,L00192
2J9F_A,L00271
2JHP_A,L00416
2JIN_A,L00417
2JLG_A,L00136
2JP9_A,L00264
2JSO_A,L00418
2JTO_A,L00419
2JX1_A,L00420
2JXI_A,L00421
2K0Q_A,L00422
2K1N_A,L00423
2K2Q_B,L00424
2K7F_A,L00425
2KB4_A,L00426
2KCW_A,L00427
2KDZ_A,L00187
2KFN_A,L00072
2KKF_A,L00428
2KMK_A,L00013
2KMT_A,L00429
2KN7_A,L00430
2KO0_A,L00431
2KTQ_A,L00072
2KWB_A,L00432
2KY8_A,L00149
2L4L_A,L00041
2L4Q_A,L00258
2L8B_A,L00433
2L97_A,L00434
2LBT_A,L00435
2LD5_A,L00023
2LEF_A,L00057
2LEN_A,L00436
2LEV_A,L00437
2LGD_A,L00438
2LHR_A,L00439
2LJP_A,L00440
2LKX_A,L00023
2LLF_A,L00441
2LLI_A,L00442
2LNA_A,L00443
2LOE_A,L00444
2LON_A,L00445
2LOR_A,L00446
2LQO_A,L00447
2LRJ_A,L00448
2LRK_A,L00449
2LS8_A,L00450
2LT5_A,L00451
2LT7_A,L00452
2LTT_A,L00453
2M2W_A,L00454
2MAP_A,L00455
2MCQ_A,L00456
2ME6_A,L00023
2MNA_A,L00457
2MOE_A,L00149
2MT9_A,L00384
2MTZ_A,L00458
2N8A_A,L00459
2N9W_A,L00460
2NBJ_A,L00461
2NLL_A,L00045
2NLL_B,L00045
2NNR_A,L00462
2NOB_A,L00091
2NOE_A,L00091
2NOF_A,L00091
2NOH_A,L00091
2NOI_A,L00091
2NOL_A,L00091
2NOZ_A,L00091
2NP2_A,L00205
2NP6_A,L00112
2NQ9_A,L00235
2NQJ_A,L00235
2NRA_C,L00463
2NRG_A,L00464
2NSW_A,L00465
2NT3_A,L00466
2NTC_A,L00415
2NXV_A,L00467
2O4A_A,L00468
2O5C_A,L00007
2O5I_C,L00004
2O61_A,L00016
2O61_B,L00016
2O6M_A,L00020
2O7I_A,L00469
2O8E_B,L00196
2O8K_A,L00470
2O93_L,L00010
2OAA_B,L00471
2OEH_A,L00472
2OFX_A,L00473
2OG0_B,L00409
2OK0_H,L00052
2OK0_L,L00052
2OPF_A,L00166
2OQA_A,L00341
2OST_A,L00474
2OX1_A,L00475
2OXV_A,L00059
2P0J_A,L00476
2P3N_A,L00278
2P5L_D,L00477
2P6R_A,L00478
2P7C_B,L00479
2PA8_L,L00480
2PE5_B,L00038
2PGN_A,L00412
2PI0_B,L00010
2PI4_A,L00188
2PJR_B,L00269
2PJR_F,L00269
2POR_A,L00481
2PP0_A,L00482
2PUA_A,L00038
2PUE_A,L00038
2PVI_A,L00099
2PYJ_B,L00483
2PYO_G,L00005
2Q10_A,L00484
2Q2T_A,L00485
2Q5X_A,L00486
2Q66_A,L00487
2QBY_A,L00488
2QBY_B,L00488
2QHB_A,L00489
2QIQ_A,L00490
2QJG_A,L00491
2QKK_A,L00492
2QL2_B,L00023
2QL2_C,L00023
2QMC_C,L00493
2QNC_A,L00494
2QNF_A,L00494
2QRL_A,L00495
2QSG_A,L00496
2QSH_A,L00496
2QSK_A,L00497
2QV6_A,L00498
2R0Q_C,L00120
2R1B_A,L00499
2R1J_L,L00213
2R8K_A,L00500
2RAM_A,L00016
2RGR_A,L00327
2SAS_A,L00501
2SSP_E,L00096
2STT_A,L00010
2UVU_A,L00192
2UVV_A,L00192
2UWJ_G,L00502
2UYC_A,L00074
2UYH_A,L00074
2UZ4_A,L00074
2UZK_A,L00010
2V1U_A,L00488
2V2T_A,L00016
2V2T_B,L00016
2V4C_A,L00503
2V4J_C,L00504
2V6E_A,L00505
2VBJ_A,L00116
2VBJ_B,L00116
2VBL_A,L00116
2VBL_B,L00116
2VBO_A,L00116
2VBO_B,L00116
2VIC_A,L00333
2VLA_A,L00506
2VLB_C,L00507
2VLP_B,L00224
2VOR_A,L00392
2VQE_Q,L00508
2VS8_F,L00509
2VTB_A,L00263
2VTB_B,L00263
2VVF_A,L00510
2VWJ_A,L00511
2VYE_A,L00512
2VZ4_A,L00237
2W0C_T,L00513
2W1V_A,L00514
2W36_A,L00515
2W7N_B,L00516
2W87_A,L00517
2W8T_A,L00518
2W9B_A,L00192
2WBS_A,L00013
2WBU_A,L00013
2WCC_3,L00519
2WGV_B,L00520
2WIW_B,L00521
2WL5_C,L00522
2WPV_C,L00523
2WT7_A,L00010
2WT7_B,L00010
2WTY_B,L00010
2X0J_A,L00524
2X2S_B,L00525
2X48_A,L00526
2X4I_A,L00527
2XCR_D,L00327
2XE0_A,L00116
2XE0_B,L00116
2XGP_B,L00500
2XHB_A,L00511
2XHY_A,L00528
2XMA_E,L00333
2XMX_A,L00529
2XO6_A,L00333
2XO7_A,L00072
2XOL_B,L00530
2XQC_D,L00333
2XRO_B,L00531
2XY5_A,L00072
2XY6_A,L00072
2XY7_A,L00072
2Y1E_B,L00532
2Y1J_A,L00072
2Y35_A,L00533
2Y7H_A,L00534
2Y7H_B,L00534
2Y88_A,L00535
2Y8L_E,L00536
2Y9Z_B,L00537
2YAJ_B,L00538
2YDS_A,L00539
2YEV_B,L00540
2YFK_A,L00541
2YJG_A,L00542
2YOJ_A,L00543
2YPB_B,L00023
2YSW_A,L00475
2YZC_A,L00544
2Z33_A,L00128
2Z58_B,L00545
2Z6A_A,L00074
2Z6Q_A,L00074
2Z6U_A,L00074
2Z70_A,L00546
2ZCJ_A,L00074
2ZKD_A,L00547
2ZZD_H,L00548
30FH_6,L00549
30GB_I,L00205
30GB_K,L00205
31OX_2,L00550
36AX_R,L00551
36HT_A,L00323
36HT_I,L00323
36HT_L,L00323
36NB_A,L00023
36OF_A,L00009
36PP_D,L00552
36XS_A,L00553
3A01_F,L00023
3A06_B,L00532
3A1K_A,L00554
3A46_A,L00166
3A4K_D,L00370
3A5U_A,L00098
3A8U_X,L00555
3ACP_A,L00556
3AFE_A,L00353
3AHY_B,L00528
3AJ4_A,L00557
3APA_A,L00558
3AUK_A,L00559
3AUO_A,L00560
3AXD_A,L00561
3AYQ_A,L00562
3B18_A,L00563
3B39_A,L00564
3B5N_C,L00565
3B7A_A,L00566
3BBB_B,L00567
3BDN_A,L00568
3BDZ_A,L00062
3BEP_A,L00569
3BI3_A,L00570
3BIE_A,L00570
3BKZ_A,L00570
3BMB_A,L00571
3BMX_A,L00572
3BQ1_A,L00192
3BRG_C,L00382
3BS1_A,L00573
3BSU_G,L00574
3BTX_A,L00575
3BTY_A,L00575
3BTZ_A,L00575
3BU0_A,L00575
3BWU_D,L00576
3C1M_C,L00577
3C25_A,L00578
3C29_A,L00083
3C5F_A,L00142
3C5G_B,L00142
3CAW_A,L00579
3CBB_B,L00045
3CFR_A,L00060
3CHL_A,L00580
3CKY_A,L00581
3CLZ_B,L00547
3CMU_A,L00582
3CMW_A,L00582
3CMY_A,L00023
3CO6_C,L00010
3COQ_A,L00583
3CQ8_A,L00060
3CRO_L,L00213
3CRX_A,L00083
3CVV_A,L00263
3CVW_A,L00263
3CVX_A,L00263
3CW7_A,L00584
3CX5_C,L00585
3D0N_A,L00586
3D1R_A,L00587
3D54_B,L00588
3D6N_B,L00589
3D6Z_A,L00238
3D70_A,L00238
3D71_A,L00238
3DFX_A,L00117
3DHI_E,L00590
3DO7_A,L00016
3DO7_B,L00016
3DPG_A,L00591
3DR3_A,L00592
3DSC_A,L00593
3DSD_A,L00593
3E0D_A,L00594
3E3J_B,L00188
3E3K_B,L00156
3E3U_A,L00595
3E54_A,L00116
3E6C_C,L00596
3E8M_A,L00597
3EA6_A,L00598
3ECP_A,L00185
3EH8_A,L00009
3EI2_B,L00599
3EMH_A,L00600
3ES7_A,L00482
3EWD_A,L00601
3EXJ_A,L00393
3EY1_A,L00312
3EYI_B,L00249
3EYZ_A,L00072
3EZ5_A,L00072
3EZM_A,L00602
3F1L_A,L00089
3F2B_A,L00603
3F8J_B,L00547
3FBD_A,L00224
3FD2_A,L00604
3FDE_A,L00547
3FHZ_D,L00605
3FIR_A,L00606
3FMT_A,L00607
3FZ7_F,L00608
3G00_A,L00075
3G0Q_A,L00281
3G2C_A,L00075
3G7G_H,L00609
3G9I_B,L00045
3GFI_A,L00610
3GLF_G,L00569
3GLG_G,L00569
3GO8_A,L00166
3GOX_A,L00611
3GP1_A,L00166
3GP8_A,L00612
3GPU_A,L00166
3GPX_A,L00166
3GQ4_A,L00166
3GQ5_A,L00166
3GX4_X,L00613
3GXB_A,L00614
3GXQ_B,L00615
3GY1_B,L00482
3GZ6_A,L00616
3H1K_B,L00617
3H3J_B,L00524
3H40_A,L00192
3H4D_A,L00192
3H6Q_A,L00618
3H8O_A,L00575
3H9C_A,L00619
3HC7_A,L00620
3HDD_B,L00023
3HJF_A,L00621
3HK2_B,L00621
3HOT_A,L00622
3HQ2_B,L00623
3HQF_A,L00624
3HQG_A,L00625
3HT3_A,L00072
3HW2_A,L00626
3HW8_A,L00142
3HX0_A,L00142
3HXQ_A,L00614
3I0W_A,L00091
3I0X_A,L00091
3I3M_A,L00570
3I8D_A,L00312
3IAG_C,L00382
3IAY_A,L00511
3IGC_A,L00627
3IGK_A,L00393
3IH7_A,L00091
3IKT_B,L00628
3IQE_A,L00629
3ISL_A,L00630
3IYD_A,L00004
3IYD_D,L00004
3J3I_A,L00631
3J9X_1,L00632
3JAY_C,L00633
3JCA_A,L00634
3JCA_C,L00634
3JR5_A,L00166
3JSM_A,L00144
3JSP_A,L00635
3JTG_A,L00010
3JX7_A,L00636
3JXB_C,L00213
3JXZ_A,L00636
3JY1_A,L00636
3K0S_A,L00196
3K4X_A,L00637
3K57_A,L00511
3K7T_A,L00638
3K8G_A,L00639
3KD1_E,L00060
3KDE_C,L00640
3KET_A,L00628
3KFF_A,L00641
3KHC_B,L00570
3KJP_A,L00293
3KK2_B,L00144
3KLE_A,L00144
3KLE_B,L00144
3KLF_A,L00144
3KLH_A,L00144
3KMP_A,L00183
3KNT_A,L00642
3KO2_A,L00116
3KQH_A,L00381
3KQN_A,L00381
3KTU_A,L00091
3KWQ_A,L00005
3KXT_A,L00643
3L1P_A,L00644
3L2P_A,L00645
3LDS_A,L00060
3LFZ_A,L00646
3LGS_C,L00647
3LJ5_A,L00648
3LNQ_A,L00023
3LWH_A,L00643
3M12_B,L00649
3M7K_A,L00650
3M9E_E,L00045
3MDA_A,L00142
3ME7_A,L00651
3MIP_A,L00116
3MIS_A,L00116
3MKZ_A,L00652
3MLN_B,L00653
3MR1_A,L00654
3MSU_B,L00410
3MU6_A,L00023
3MVA_O,L00655
3MVB_O,L00655
3MVD_L,L00012
3MX4_A,L00656
3MXI_A,L00657
3MXM_A,L00657
3MZH_A,L00053
3N1I_A,L00658
3N20_A,L00659
3N2B_A,L00660
3N6S_A,L00655
3N7Q_A,L00655
3NBN_A,L00382
3NCI_A,L00060
3NDH_A,L00661
3NE2_C,L00662
3NE6_A,L00060
3NGI_A,L00060
3NK7_B,L00663
3NM9_A,L00234
3NYT_A,L00036
3NZN_A,L00664
3O1T_A,L00570
3O3F_A,L00665
3O3G_A,L00665
3O4G_A,L00666
3O9X_A,L00667
3ODC_B,L00668
3ODH_A,L00344
3OGD_A,L00584
3OGU_A,L00142
3OH9_A,L00584
3OHA_A,L00500
3ON0_A,L00669
3OOL_A,L00670
3OOR_A,L00670
3OQM_A,L00038
3OQO_A,L00038
3ORC_A,L00671
3OSN_A,L00192
3OYJ_A,L00672
3OYM_A,L00672
3OYY_A,L00673
3P1G_A,L00674
3P57_A,L00023
3PIH_A,L00675
3PKY_A,L00676
3PL1_A,L00677
3PML_B,L00142
3POV_A,L00678
3PR5_B,L00192
3PT6_B,L00679
