base_identifier,label,split,tier,sequence_cluster_id
1I7H_A,0,train,core,rcsb-mmseqs2-30:6961_30
1JET_A,0,val,core,rcsb-mmseqs2-30:1549_30
1JLK_A,0,val,core,rcsb-mmseqs2-30:1637_30
1KTB_A,0,test,core,rcsb-mmseqs2-30:2578_30
1KX5_A,1,test,core,rcsb-mmseqs2-30:38_30
1KX5_D,1,test,core,rcsb-mmseqs2-30:251_30
1KYZ_A,0,test,core,rcsb-mmseqs2-30:1097_30
1LRI_A,0,test,core,rcsb-mmseqs2-30:16318_30
1LT4_A,0,test,core,rcsb-mmseqs2-30:6092_30
1M0U_A,0,train,core,rcsb-mmseqs2-30:2390_30
1M1C_A,0,val,core,rcsb-mmseqs2-30:67889_30
1MDY_A,1,test,challenge,rcsb-mmseqs2-30:7573_30
1N40_A,0,val,core,rcsb-mmseqs2-30:2941_30
1N6Z_A,0,test,core,rcsb-mmseqs2-30:82176_30
1NG6_A,0,val,core,rcsb-mmseqs2-30:14958_30
1NWW_A,0,val,core,rcsb-mmseqs2-30:7798_30
1ODH_A,1,test,core,rcsb-mmseqs2-30:51681_30
1ODZ_A,0,test,core,rcsb-mmseqs2-30:15986_30
1OX3_A,0,val,challenge,rcsb-mmseqs2-30:101690_30
1OYZ_A,0,val,core,rcsb-mmseqs2-30:65028_30
1P3Y_1,0,val,core,rcsb-mmseqs2-30:56859_30
1PAH_A,0,test,core,rcsb-mmseqs2-30:2560_30
1PAV_A,0,val,core,rcsb-mmseqs2-30:68238_30
1PIX_A,0,val,core,rcsb-mmseqs2-30:33742_30
1PP8_P,1,val,core,rcsb-mmseqs2-30:80431_30
1Q4T_A,0,train,core,rcsb-mmseqs2-30:9688_30
1QEX_A,0,test,core,rcsb-mmseqs2-30:18189_30
1QOP_B,0,test,core,rcsb-mmseqs2-30:175_30
1QP9_A,1,test,core,rcsb-mmseqs2-30:17459_30
1QV9_A,0,test,core,rcsb-mmseqs2-30:8569_30
1R8D_A,1,val,core,rcsb-mmseqs2-30:17197_30
1RH6_A,1,val,core,rcsb-mmseqs2-30:22112_30
1RWI_A,0,test,core,rcsb-mmseqs2-30:4574_30
1S9R_A,0,val,core,rcsb-mmseqs2-30:1279_30
1SA3_A,1,test,core,rcsb-mmseqs2-30:64352_30
1T6K_A,0,test,core,rcsb-mmseqs2-30:13913_30
1T8E_B,1,train,core,rcsb-mmseqs2-30:2926_30
1T8S_A,0,val,core,rcsb-mmseqs2-30:15919_30
1TD4_A,0,val,core,rcsb-mmseqs2-30:19334_30
1TW8_A,1,test,core,rcsb-mmseqs2-30:10465_30
1U3E_M,1,test,challenge,rcsb-mmseqs2-30:183005_30
1U78_A,1,test,challenge,rcsb-mmseqs2-30:27797_30
1U8R_H,1,test,core,rcsb-mmseqs2-30:5113_30
1ULI_A,0,train,core,rcsb-mmseqs2-30:2786_30
1USY_A,0,test,core,rcsb-mmseqs2-30:60907_30
1V1A_A,0,test,core,rcsb-mmseqs2-30:13774_30
1V3I_A,0,val,core,rcsb-mmseqs2-30:3976_30
1VDW_A,0,val,core,rcsb-mmseqs2-30:9916_30
1WM4_A,0,test,core,rcsb-mmseqs2-30:11014_30
1WPI_A,0,train,core,rcsb-mmseqs2-30:42756_30
1WRU_A,0,test,core,rcsb-mmseqs2-30:69063_30
1WSR_A,0,val,core,rcsb-mmseqs2-30:1326_30
1WU8_A,0,test,core,rcsb-mmseqs2-30:13178_30
1WVL_A,1,test,core,rcsb-mmseqs2-30:6794_30
1X9E_A,0,train,core,rcsb-mmseqs2-30:9367_30
1XH9_A,0,val,core,rcsb-mmseqs2-30:364_30
1Y1P_A,0,val,core,rcsb-mmseqs2-30:13759_30
1Y23_A,0,test,core,rcsb-mmseqs2-30:24274_30
1Y6F_A,1,test,core,rcsb-mmseqs2-30:38608_30
1Y7E_A,0,test,core,rcsb-mmseqs2-30:21435_30
1YCL_A,0,val,core,rcsb-mmseqs2-30:586_30
1YF3_A,1,val,core,rcsb-mmseqs2-30:20483_30
1YNV_X,0,test,core,rcsb-mmseqs2-30:5428_30
1YW1_A,0,test,core,rcsb-mmseqs2-30:8694_30
1Z8D_A,0,test,core,rcsb-mmseqs2-30:527_30
1ZDS_A,0,test,core,rcsb-mmseqs2-30:787_30
1ZS4_A,1,train,core,rcsb-mmseqs2-30:51884_30
23NX_A,0,test,core,rcsb-mmseqs2-30:14700_30
2A6O_A,1,val,core,rcsb-mmseqs2-30:19449_30
2AD6_B,0,test,challenge,rcsb-mmseqs2-30:10846_30
2AHU_A,0,test,core,rcsb-mmseqs2-30:23485_30
2APJ_A,0,val,core,rcsb-mmseqs2-30:12243_30
2B5X_A,0,test,core,rcsb-mmseqs2-30:53523_30
2B99_A,0,train,core,rcsb-mmseqs2-30:20924_30
2BGH_A,0,val,core,rcsb-mmseqs2-30:4945_30
2BOP_A,1,test,core,rcsb-mmseqs2-30:45073_30
2BPA_1,1,test,core,rcsb-mmseqs2-30:18160_30
2BSY_A,0,test,core,rcsb-mmseqs2-30:33942_30
2C62_A,1,train,core,rcsb-mmseqs2-30:11286_30
2CCZ_A,1,test,core,rcsb-mmseqs2-30:2432_30
2CWL_A,0,test,core,rcsb-mmseqs2-30:46169_30
2D1C_A,0,val,core,rcsb-mmseqs2-30:14251_30
2D5V_A,1,test,core,rcsb-mmseqs2-30:16157_30
2EB4_A,0,val,core,rcsb-mmseqs2-30:4400_30
2EFV_A,0,test,core,rcsb-mmseqs2-30:100797_30
2EGJ_A,0,val,core,rcsb-mmseqs2-30:17548_30
2EGZ_A,0,val,core,rcsb-mmseqs2-30:40386_30
2ETW_A,1,test,core,rcsb-mmseqs2-30:14537_30
2EX5_A,1,test,core,rcsb-mmseqs2-30:98921_30
2FCR_A,0,test,core,rcsb-mmseqs2-30:2469_30
2FO1_A,1,test,core,rcsb-mmseqs2-30:33989_30
2G5X_A,0,val,core,rcsb-mmseqs2-30:4312_30
2GB7_B,1,test,core,rcsb-mmseqs2-30:60082_30
2GRR_A,0,test,core,rcsb-mmseqs2-30:4682_30
2GS4_A,0,val,core,rcsb-mmseqs2-30:30490_30
2GV8_A,0,val,core,rcsb-mmseqs2-30:17113_30
2GXA_E,1,val,core,rcsb-mmseqs2-30:43081_30
2H27_A,1,test,core,rcsb-mmseqs2-30:10070_30
2H8G_A,0,val,core,rcsb-mmseqs2-30:13299_30
2IAA_A,0,test,core,rcsb-mmseqs2-30:7764_30
2IC8_A,0,test,core,rcsb-mmseqs2-30:1923_30
2IHT_A,0,test,core,rcsb-mmseqs2-30:30537_30
2III_A,0,test,core,rcsb-mmseqs2-30:2828_30
2INY_A,0,test,core,rcsb-mmseqs2-30:4776_30
2J9F_A,0,test,core,rcsb-mmseqs2-30:3352_30
2JIN_A,0,train,core,rcsb-mmseqs2-30:25592_30
2KWB_A,0,train,core,rcsb-mmseqs2-30:549_30
2LLF_A,0,val,core,rcsb-mmseqs2-30:8673_30
2LLI_A,0,test,challenge,rcsb-mmseqs2-30:43141_30
2LNA_A,0,val,core,rcsb-mmseqs2-30:11644_30
2LOE_A,0,test,core,rcsb-mmseqs2-30:34478_30
2LOR_A,0,test,core,rcsb-mmseqs2-30:35096_30
2MCG_1,0,test,core,rcsb-mmseqs2-30:47_30
2MTZ_A,0,test,core,rcsb-mmseqs2-30:20726_30
2NP2_A,1,val,core,rcsb-mmseqs2-30:1288_30
2NRA_C,1,train,core,rcsb-mmseqs2-30:86336_30
2NXV_A,0,val,core,rcsb-mmseqs2-30:55026_30
2O8B_B,1,test,core,rcsb-mmseqs2-30:8150_30
2OAA_B,1,test,core,rcsb-mmseqs2-30:77498_30
2OFX_A,0,val,core,rcsb-mmseqs2-30:6518_30
2OST_A,1,test,core,rcsb-mmseqs2-30:160575_30
2OX1_A,0,val,core,rcsb-mmseqs2-30:20035_30
2P35_A,0,val,core,rcsb-mmseqs2-30:2288_30
2P9M_A,0,test,core,rcsb-mmseqs2-30:29345_30
2PGN_A,0,test,core,rcsb-mmseqs2-30:40509_30
2POR_A,0,test,core,rcsb-mmseqs2-30:55596_30
2PP0_A,0,test,core,rcsb-mmseqs2-30:8077_30
2PT5_A,0,test,core,rcsb-mmseqs2-30:3248_30
2Q2K_A,1,test,core,rcsb-mmseqs2-30:265070_30
2QEC_A,0,val,core,rcsb-mmseqs2-30:112316_30
2QHB_A,1,val,core,rcsb-mmseqs2-30:13049_30
2QND_A,0,train,core,rcsb-mmseqs2-30:6875_30
2QSK_A,0,val,core,rcsb-mmseqs2-30:47822_30
2QV6_A,0,train,core,rcsb-mmseqs2-30:15126_30
2RBD_A,0,train,core,rcsb-mmseqs2-30:77939_30
2RK6_A,0,test,core,rcsb-mmseqs2-30:1378_30
2RLC_A,0,test,core,rcsb-mmseqs2-30:4734_30
2UWJ_G,0,test,core,rcsb-mmseqs2-30:31383_30
2UZK_A,1,val,core,rcsb-mmseqs2-30:6274_30
2V6E_A,1,val,core,rcsb-mmseqs2-30:260975_30
2V8Q_E,0,test,core,rcsb-mmseqs2-30:3828_30
2VH3_A,0,train,core,rcsb-mmseqs2-30:61589_30
2VLB_A,0,test,core,rcsb-mmseqs2-30:20260_30
2VQE_Q,0,val,core,rcsb-mmseqs2-30:354_30
2VQE_R,0,val,core,rcsb-mmseqs2-30:244_30
2VTB_A,1,val,core,rcsb-mmseqs2-30:9440_30
2VW9_A,1,test,core,rcsb-mmseqs2-30:13777_30
2VY1_A,1,test,core,rcsb-mmseqs2-30:8074_30
2W35_A,1,test,core,rcsb-mmseqs2-30:4529_30
2W87_A,0,val,core,rcsb-mmseqs2-30:32851_30
2W8T_A,0,val,core,rcsb-mmseqs2-30:9966_30
2WJN_C,0,test,core,rcsb-mmseqs2-30:2968_30
2WTZ_A,0,train,core,rcsb-mmseqs2-30:1909_30
2X2S_A,0,train,core,rcsb-mmseqs2-30:49450_30
2XHY_A,0,test,core,rcsb-mmseqs2-30:3750_30
2XOK_G,0,test,core,rcsb-mmseqs2-30:1031_30
2XRO_B,1,test,core,rcsb-mmseqs2-30:36923_30
2YDS_A,0,test,core,rcsb-mmseqs2-30:8403_30
2YPA_A,1,test,challenge,rcsb-mmseqs2-30:25469_30
2YZC_A,0,test,core,rcsb-mmseqs2-30:1334_30
2Z25_A,0,test,core,rcsb-mmseqs2-30:778_30
2Z3X_A,1,test,core,rcsb-mmseqs2-30:7560_30
2ZKD_A,1,val,core,rcsb-mmseqs2-30:2403_30
3A06_A,0,test,core,rcsb-mmseqs2-30:261_30
3A5U_A,1,test,core,rcsb-mmseqs2-30:10156_30
3ACP_A,0,test,core,rcsb-mmseqs2-30:30061_30
3AFF_A,0,test,core,rcsb-mmseqs2-30:13148_30
3AGK_A,0,val,core,rcsb-mmseqs2-30:1359_30
3AHY_A,0,val,core,rcsb-mmseqs2-30:503_30
3AJ4_A,0,val,core,rcsb-mmseqs2-30:22868_30
3APA_A,0,val,core,rcsb-mmseqs2-30:18107_30
3AUK_A,0,train,core,rcsb-mmseqs2-30:3590_30
3AXX_A,0,val,core,rcsb-mmseqs2-30:10661_30
3B7A_A,0,val,core,rcsb-mmseqs2-30:8231_30
3BBB_B,1,val,core,rcsb-mmseqs2-30:855_30
3BDZ_A,0,test,core,rcsb-mmseqs2-30:11668_30
3BEP_A,1,val,core,rcsb-mmseqs2-30:1438_30
3BS1_A,1,test,core,rcsb-mmseqs2-30:9576_30
3C75_H,0,val,core,rcsb-mmseqs2-30:4667_30
3CAW_A,0,test,core,rcsb-mmseqs2-30:96228_30
3CHJ_A,0,test,core,rcsb-mmseqs2-30:54480_30
3CRO_L,1,val,core,rcsb-mmseqs2-30:8384_30
3CS5_A,0,test,challenge,rcsb-mmseqs2-30:29817_30
3CX5_C,0,val,core,rcsb-mmseqs2-30:17_30
3CXB_A,0,val,core,rcsb-mmseqs2-30:57584_30
3D54_B,0,test,core,rcsb-mmseqs2-30:52877_30
3E2E_A,1,val,core,rcsb-mmseqs2-30:10820_30
3E3U_A,0,val,core,rcsb-mmseqs2-30:2887_30
3E6C_C,1,val,core,rcsb-mmseqs2-30:26182_30
3EY1_A,1,val,core,rcsb-mmseqs2-30:2247_30
3FD2_A,1,val,core,rcsb-mmseqs2-30:31788_30
3FIR_A,0,test,core,rcsb-mmseqs2-30:25771_30
3FMT_A,1,train,core,rcsb-mmseqs2-30:5339_30
3GD6_A,0,test,core,rcsb-mmseqs2-30:30164_30
3GE3_E,0,val,core,rcsb-mmseqs2-30:8033_30
3GHJ_A,0,test,core,rcsb-mmseqs2-30:140683_30
3GPL_A,1,test,core,rcsb-mmseqs2-30:44367_30
3GQC_B,1,train,core,rcsb-mmseqs2-30:7865_30
3H6Q_A,0,test,core,rcsb-mmseqs2-30:48900_30
3H8O_A,1,test,core,rcsb-mmseqs2-30:8292_30
3H9C_A,0,test,core,rcsb-mmseqs2-30:316_30
3HM9_A,1,test,core,rcsb-mmseqs2-30:9382_30
3I0X_A,1,val,core,rcsb-mmseqs2-30:33136_30
3J6B_3,0,train,core,rcsb-mmseqs2-30:10360_30
3JSC_A,0,test,core,rcsb-mmseqs2-30:8624_30
3JX7_A,1,test,core,rcsb-mmseqs2-30:7820_30
3K5M_A,1,test,core,rcsb-mmseqs2-30:15619_30
3K7T_A,0,test,core,rcsb-mmseqs2-30:16729_30
3KBB_A,0,val,core,rcsb-mmseqs2-30:10497_30
3KDE_C,1,test,core,rcsb-mmseqs2-30:33610_30
3KH5_A,0,train,core,rcsb-mmseqs2-30:25358_30
3KK3_B,1,val,core,rcsb-mmseqs2-30:41_30
3KQL_A,1,val,core,rcsb-mmseqs2-30:1019_30
3L1P_A,1,test,core,rcsb-mmseqs2-30:7838_30
3LSP_A,1,train,core,rcsb-mmseqs2-30:5119_30
3LX4_A,0,test,core,rcsb-mmseqs2-30:18200_30
3M12_A,0,test,core,rcsb-mmseqs2-30:2609_30
3M4A_A,1,test,core,rcsb-mmseqs2-30:54614_30
3M7O_A,0,test,core,rcsb-mmseqs2-30:20874_30
3MLP_A,1,test,challenge,rcsb-mmseqs2-30:7730_30
3MSU_A,0,train,core,rcsb-mmseqs2-30:1527_30
3MX4_A,1,train,core,rcsb-mmseqs2-30:50235_30
3N1I_A,1,train,core,rcsb-mmseqs2-30:14165_30
3N20_A,0,val,core,rcsb-mmseqs2-30:5659_30
3N6S_A,1,train,core,rcsb-mmseqs2-30:15172_30
3NGO_A,1,train,core,rcsb-mmseqs2-30:6386_30
3NM8_A,0,test,core,rcsb-mmseqs2-30:3191_30
3O9X_A,1,train,core,rcsb-mmseqs2-30:25703_30
3OBI_A,0,val,core,rcsb-mmseqs2-30:5844_30
3ON0_A,1,val,core,rcsb-mmseqs2-30:12744_30
3OY9_A,1,train,core,rcsb-mmseqs2-30:3945_30
3PIH_A,1,test,core,rcsb-mmseqs2-30:1610_30
3POV_A,1,test,core,rcsb-mmseqs2-30:40599_30
3QD5_A,0,val,core,rcsb-mmseqs2-30:11223_30
3QJL_A,0,test,core,rcsb-mmseqs2-30:17934_30
3QLP_H,1,val,core,rcsb-mmseqs2-30:50_30
3R18_A,0,test,core,rcsb-mmseqs2-30:5424_30
3R3J_A,0,val,core,rcsb-mmseqs2-30:2224_30
3RA4_A,1,test,core,rcsb-mmseqs2-30:1350_30
3RMP_A,1,test,core,rcsb-mmseqs2-30:12449_30
3ROA_A,0,val,core,rcsb-mmseqs2-30:1114_30
3RX6_A,0,test,core,rcsb-mmseqs2-30:20927_30
3SM4_C,1,test,core,rcsb-mmseqs2-30:29883_30
3SO6_A,0,train,core,rcsb-mmseqs2-30:22099_30
3T5A_A,0,test,core,rcsb-mmseqs2-30:4212_30
3T63_M,0,val,core,rcsb-mmseqs2-30:3600_30
3TAY_A,0,test,core,rcsb-mmseqs2-30:2719_30
3TDO_A,0,test,core,rcsb-mmseqs2-30:15290_30
3TGU_B,0,val,core,rcsb-mmseqs2-30:976_30
3TH0_A,0,test,core,rcsb-mmseqs2-30:6960_30
3TRT_A,0,val,challenge,rcsb-mmseqs2-30:15075_30
3TT1_A,0,val,core,rcsb-mmseqs2-30:3413_30
3U2G_A,0,test,core,rcsb-mmseqs2-30:39346_30
3U3W_A,1,val,core,rcsb-mmseqs2-30:65708_30
3UF2_A,0,val,core,rcsb-mmseqs2-30:14885_30
3UGJ_A,0,train,core,rcsb-mmseqs2-30:2117_30
3UJ9_A,0,test,core,rcsb-mmseqs2-30:10527_30
3ULP_C,1,val,core,rcsb-mmseqs2-30:94831_30
3ULR_B,0,val,core,rcsb-mmseqs2-30:19445_30
3UV1_A,0,train,core,rcsb-mmseqs2-30:9269_30
3UVF_A,1,test,core,rcsb-mmseqs2-30:22794_30
3UW8_A,0,val,core,rcsb-mmseqs2-30:347_30
3V1Z_A,1,test,core,rcsb-mmseqs2-30:35804_30
3V48_A,0,val,core,rcsb-mmseqs2-30:3325_30
3V9X_B,1,val,core,rcsb-mmseqs2-30:2215_30
3VF0_B,0,train,core,rcsb-mmseqs2-30:14819_30
3VGB_A,0,val,core,rcsb-mmseqs2-30:7639_30
3VKE_A,1,test,core,rcsb-mmseqs2-30:6767_30
3VKF_A,0,test,core,rcsb-mmseqs2-30:4105_30
3VM6_A,0,train,core,rcsb-mmseqs2-30:7968_30
3VQJ_A,0,test,core,rcsb-mmseqs2-30:17146_30
3VR8_A,0,test,core,rcsb-mmseqs2-30:1985_30
3VW4_A,1,test,challenge,rcsb-mmseqs2-30:169530_30
3VYG_B,0,test,core,rcsb-mmseqs2-30:27930_30
3W54_A,0,val,core,rcsb-mmseqs2-30:10769_30
3W6X_A,0,train,core,rcsb-mmseqs2-30:32963_30
3WGI_A,1,test,core,rcsb-mmseqs2-30:1091_30
3WQL_A,0,train,core,rcsb-mmseqs2-30:19267_30
3X1L_B,1,train,core,rcsb-mmseqs2-30:25064_30
3ZHM_A,1,val,core,rcsb-mmseqs2-30:40019_30
3ZUI_A,0,val,core,rcsb-mmseqs2-30:21673_30
3ZWT_A,0,val,core,rcsb-mmseqs2-30:365_30
3ZXB_A,0,val,core,rcsb-mmseqs2-30:63132_30
4A15_A,1,train,core,rcsb-mmseqs2-30:42904_30
4A2A_A,0,train,core,rcsb-mmseqs2-30:54529_30
4A53_A,0,val,core,rcsb-mmseqs2-30:58888_30
4A5V_A,0,val,core,rcsb-mmseqs2-30:49639_30
4A7K_A,0,test,core,rcsb-mmseqs2-30:48848_30
4A9A_A,0,val,core,rcsb-mmseqs2-30:10346_30
4AFI_A,0,val,core,rcsb-mmseqs2-30:117613_30
4AN6_A,0,val,core,rcsb-mmseqs2-30:3086_30
4B21_A,1,test,core,rcsb-mmseqs2-30:16814_30
4BOF_A,0,val,core,rcsb-mmseqs2-30:1279_30
4BXO_B,1,train,core,rcsb-mmseqs2-30:19943_30
4CFT_A,0,test,core,rcsb-mmseqs2-30:88_30
4CSA_C,1,test,core,rcsb-mmseqs2-30:14103_30
4D8K_A,0,test,core,rcsb-mmseqs2-30:434_30
4D97_A,0,val,core,rcsb-mmseqs2-30:1506_30
4D9I_A,0,train,core,rcsb-mmseqs2-30:12429_30
4DBD_A,0,test,core,rcsb-mmseqs2-30:22575_30
4DG9_A,0,train,core,rcsb-mmseqs2-30:61152_30
4DGF_A,0,val,core,rcsb-mmseqs2-30:51817_30
4DKJ_A,1,val,core,rcsb-mmseqs2-30:36390_30
4DT4_A,0,test,core,rcsb-mmseqs2-30:11230_30
4DYL_A,0,test,challenge,rcsb-mmseqs2-30:5671_30
4E4T_A,0,test,core,rcsb-mmseqs2-30:308_30
4ECW_A,1,test,core,rcsb-mmseqs2-30:767_30
4EDF_A,0,test,core,rcsb-mmseqs2-30:3013_30
4EEE_A,0,test,core,rcsb-mmseqs2-30:85219_30
4EEI_A,0,test,core,rcsb-mmseqs2-30:5050_30
4EFI_A,0,test,core,rcsb-mmseqs2-30:48351_30
4EFZ_A,0,test,core,rcsb-mmseqs2-30:18111_30
4EJO_A,0,test,core,rcsb-mmseqs2-30:174547_30
4EN6_B,0,val,core,rcsb-mmseqs2-30:8419_30
4ER8_A,1,val,core,rcsb-mmseqs2-30:41155_30
4ERR_A,0,val,challenge,rcsb-mmseqs2-30:40782_30
4ETP_B,0,test,core,rcsb-mmseqs2-30:37573_30
4EVV_A,1,test,core,rcsb-mmseqs2-30:6848_30
4EY0_A,0,train,core,rcsb-mmseqs2-30:4082_30
4F52_E,0,test,challenge,rcsb-mmseqs2-30:25144_30
4F8C_A,0,val,core,rcsb-mmseqs2-30:16557_30
4FBH_A,0,train,core,rcsb-mmseqs2-30:23348_30
4FHR_A,0,test,core,rcsb-mmseqs2-30:16142_30
4FNV_A,0,val,core,rcsb-mmseqs2-30:27120_30
4FPV_B,1,train,core,rcsb-mmseqs2-30:5059_30
4FTH_A,1,val,core,rcsb-mmseqs2-30:94409_30
4G9P_A,0,test,core,rcsb-mmseqs2-30:321_30
4GNX_C,1,test,core,rcsb-mmseqs2-30:5360_30
4H5Q_B,1,val,core,rcsb-mmseqs2-30:9060_30
4H63_K,0,test,challenge,rcsb-mmseqs2-30:41686_30
4HF1_A,1,test,core,rcsb-mmseqs2-30:2664_30
4HLY_B,1,test,core,rcsb-mmseqs2-30:94963_30
4HP1_C,1,val,core,rcsb-mmseqs2-30:13598_30
4J00_A,1,test,core,rcsb-mmseqs2-30:13859_30
4JHL_A,0,train,core,rcsb-mmseqs2-30:19465_30
4JZU_A,0,val,core,rcsb-mmseqs2-30:31445_30
4K1G_A,1,train,core,rcsb-mmseqs2-30:1521_30
4K2B_A,0,train,core,rcsb-mmseqs2-30:23298_30
4KHN_B,1,test,core,rcsb-mmseqs2-30:1681_30
4KIS_A,1,test,core,rcsb-mmseqs2-30:42319_30
4L0Z_A,1,test,core,rcsb-mmseqs2-30:5037_30
4L80_A,0,val,core,rcsb-mmseqs2-30:7236_30
4LHE_A,0,test,core,rcsb-mmseqs2-30:15437_30
4LMG_B,1,val,core,rcsb-mmseqs2-30:93616_30
4LVL_A,1,test,core,rcsb-mmseqs2-30:30860_30
4MDE_A,1,test,core,rcsb-mmseqs2-30:5291_30
4MGU_A,1,val,core,rcsb-mmseqs2-30:165106_30
4MIK_A,0,train,core,rcsb-mmseqs2-30:2192_30
4MTD_D,1,test,core,rcsb-mmseqs2-30:19517_30
4MW0_A,0,train,core,rcsb-mmseqs2-30:3261_30
4N65_A,0,val,core,rcsb-mmseqs2-30:2059_30
4NDH_A,1,test,core,rcsb-mmseqs2-30:8512_30
4NI7_A,1,train,core,rcsb-mmseqs2-30:4898_30
4NV0_A,0,test,core,rcsb-mmseqs2-30:5053_30
4O7O_A,0,test,core,rcsb-mmseqs2-30:8454_30
4OBU_A,0,test,core,rcsb-mmseqs2-30:2842_30
4ON0_A,1,train,core,rcsb-mmseqs2-30:8333_30
4P9U_E,1,test,core,rcsb-mmseqs2-30:2175_30
4PAR_A,1,val,core,rcsb-mmseqs2-30:37312_30
4PU3_D,1,test,core,rcsb-mmseqs2-30:38759_30
4R28_C,1,test,core,rcsb-mmseqs2-30:69837_30
4RB3_C,1,val,core,rcsb-mmseqs2-30:3837_30
4RTL_A,1,val,core,rcsb-mmseqs2-30:6346_30
4TN5_A,0,val,core,rcsb-mmseqs2-30:19074_30
4U7B_A,1,train,core,rcsb-mmseqs2-30:21685_30
4UX5_A,1,train,core,rcsb-mmseqs2-30:28719_30
4UZB_A,1,test,core,rcsb-mmseqs2-30:26028_30
4V81_H,0,test,core,rcsb-mmseqs2-30:1477_30
4WCG_A,1,train,core,rcsb-mmseqs2-30:93809_30
4WFA_B,0,test,core,rcsb-mmseqs2-30:153_30
4WNB_B,0,val,core,rcsb-mmseqs2-30:50665_30
4WWU_C,0,test,core,rcsb-mmseqs2-30:21573_30
4X28_C,0,test,core,rcsb-mmseqs2-30:37750_30
4YO2_A,1,val,core,rcsb-mmseqs2-30:28090_30
4YSX_D,0,train,core,rcsb-mmseqs2-30:3129_30
4Z8W_A,0,val,core,rcsb-mmseqs2-30:84129_30
4ZCF_B,1,test,core,rcsb-mmseqs2-30:36227_30
4ZCF_C,1,test,core,rcsb-mmseqs2-30:70056_30
4ZSF_A,1,val,core,rcsb-mmseqs2-30:255177_30
5A72_B,1,test,core,rcsb-mmseqs2-30:4209_30
5AF7_A,0,train,core,rcsb-mmseqs2-30:4520_30
5AYC_A,0,test,core,rcsb-mmseqs2-30:26429_30
5AYE_A,0,test,core,rcsb-mmseqs2-30:20225_30
5B04_A,0,train,core,rcsb-mmseqs2-30:2320_30
5BOX_A,1,train,challenge,rcsb-mmseqs2-30:34639_30
5CQ9_A,0,val,core,rcsb-mmseqs2-30:42587_30
5CQQ_B,1,val,core,rcsb-mmseqs2-30:33272_30
5D8C_B,1,val,core,rcsb-mmseqs2-30:20560_30
5DLO_A,1,test,core,rcsb-mmseqs2-30:4237_30
5DNY_B,1,val,core,rcsb-mmseqs2-30:33572_30
5EIX_B,1,test,core,rcsb-mmseqs2-30:386_30
5F7Q_E,1,test,core,rcsb-mmseqs2-30:10322_30
5FD3_A,1,test,core,rcsb-mmseqs2-30:28061_30
5FDK_D,1,val,core,rcsb-mmseqs2-30:1893_30
5FIG_A,0,val,core,rcsb-mmseqs2-30:13473_30
5FLV_M,1,test,core,rcsb-mmseqs2-30:53936_30
5FMP_A,1,train,core,rcsb-mmseqs2-30:15970_30
5GKE_A,1,test,core,rcsb-mmseqs2-30:8344_30
5GPC_A,1,test,core,rcsb-mmseqs2-30:28659_30
5GWK_A,1,val,core,rcsb-mmseqs2-30:4324_30
